Customer_ID,First_Name,Surname,Street_Address,Age,Gender,Location,Tenure_Months,Activation_Date,Plan_Type,Contract_Duration_Months,Data_Usage_GB,Call_Minutes,SMS_Count,Payment_History_12mo,Outstanding_Balance,Monthly_Bill,Num_Complaints,Support_Tickets,Payment_Delays,Churn,Customer Phone Number
C0001,Alice,Marime,173 High St,62,Female,Harare,39,1/2/2025,Prepaid,0,4.3,399.1,337,9,99.16,18.45,1,0,0,1,712086830
C0002,John,Takaedza,53 Churchill Rd,60,Female,Bulawayo,52,19/1/2022,Prepaid,0,0.96,723.1,274,11,98.32,15.17,0,0,0,0,719452605
C0003,Alice,Dziva,63 Samora Machel St,26,Male,Bulawayo,29,27/9/2020,Prepaid,0,8.18,280.3,70,8,63.5,19.42,2,0,1,0,719241543
C0004,Grace,Mawere,95 Samora Machel St,42,Female,Harare,15,9/8/2020,Prepaid,0,3.8,687.4,312,8,44.29,12.05,0,0,0,0,718743832
C0005,Robert,Nyika,81 Churchill Rd,33,Female,Gweru,43,20/7/2020,Prepaid,0,5.31,24.5,402,8,49.11,11.51,2,0,1,0,718906647
C0006,Emily,Nhika,57 Samora Machel St,27,Male,Harare,8,19/4/2023,Postpaid,14,10.05,306.1,215,12,68.25,63.08,0,0,0,0,711102870
C0007,David,Muzati,182 Main Rd,28,Male,Bulawayo,21,2/7/2024,Prepaid,0,0.13,549.1,78,10,10.16,22.55,0,0,0,0,712150411
C0008,Alice,Nhika,147 High St,48,Male,Gweru,39,11/7/2020,Postpaid,21,33.71,632.1,168,8,32.84,32.82,0,0,0,1,712527527
C0009,Robert,Chakaita,67 Kwame Nkrumah Ave,29,Male,Mutare,58,23/12/2023,Postpaid,17,28.18,577.0,297,10,7.53,86.34,3,0,1,0,714701083
C0010,Emily,Jiri,46 Main Rd,48,Male,Harare,19,30/8/2022,Prepaid,0,5.98,697.8,470,10,7.34,12.38,1,0,1,0,714198997
C0011,Grace,Moyo,94 First Ave,31,Female,Gweru,23,26/1/2023,Postpaid,15,40.72,6.1,179,9,19.58,89.82,0,0,0,0,717905957
C0012,Alice,Johnson,138 Second St,68,Female,Gweru,11,1/11/2020,Prepaid,0,6.5,100.9,115,11,48.53,21.04,0,0,0,0,713973233
C0013,Robert,Moyo,113 First Ave,61,Female,Gweru,11,5/11/2022,Prepaid,0,1.83,868.9,259,12,78.48,11.98,0,0,0,1,719931100
C0014,John,Nyathi,93 First Ave,49,Female,Harare,24,9/9/2022,Prepaid,0,3.67,681.7,485,10,48.55,18.88,2,0,0,0,711461926
C0015,Susan,Sibanda,146 First Ave,67,Female,Mutare,53,25/6/2024,Postpaid,11,45.77,112.9,259,12,33.55,41.17,0,1,0,0,711851749
C0016,John,Johnson,140 Second St,70,Male,Gweru,36,2/6/2021,Prepaid,0,7.72,842.1,4,9,8.24,22.93,0,0,0,1,713799209
C0017,Alice,Smith,49 Main Rd,34,Female,Harare,40,23/9/2024,Postpaid,23,30.05,242.2,296,8,55.03,58.31,0,0,1,0,715715999
C0018,Susan,Moyo,23 High St,52,Female,Bulawayo,24,7/6/2023,Postpaid,7,16.5,478.3,107,10,27.13,61.89,3,0,1,0,717432698
C0019,John,Nyathi,62 Samora Machel St,18,Female,Harare,3,20/3/2021,Prepaid,0,3.09,145.2,342,11,61.49,19.12,1,0,0,0,719996277
C0020,David,Nyathi,11 Kwame Nkrumah Ave,46,Female,Harare,22,2/2/2025,Postpaid,14,37.94,710.1,359,9,97.72,87.46,1,2,0,0,712546962
C0021,Peter,Nyathi,73 High St,68,Female,Harare,53,20/8/2022,Prepaid,0,8.53,666.9,116,12,11.13,9.73,2,1,0,0,718012757
C0022,Jane,Sibanda,118 High St,21,Male,Gweru,2,8/7/2024,Prepaid,0,6.75,211.1,356,8,21.21,18.23,1,1,1,0,713979261
C0023,Susan,Smith,184 Samora Machel St,40,Female,Harare,24,9/5/2023,Prepaid,0,8.11,863.4,444,12,47.31,12.84,1,1,1,0,714133410
C0024,Alice,Moyo,88 Churchill Rd,45,Female,Bulawayo,44,15/7/2020,Prepaid,0,7.69,401.3,330,11,96.86,12.37,3,0,1,1,714701016
C0025,Jane,Williams,89 First Ave,33,Female,Gweru,30,4/6/2024,Postpaid,24,11.74,292.5,438,10,77.18,78.3,2,0,1,0,719870949
C0026,John,Williams,55 Kwame Nkrumah Ave,29,Female,Bulawayo,38,3/5/2020,Prepaid,0,4.3,152.3,330,11,89.82,12.74,1,0,0,0,718064785
C0027,Grace,Brown,153 Main Rd,70,Female,Masvingo,2,17/4/2023,Prepaid,0,1.61,266.2,12,12,33.37,11.92,3,0,0,0,714371249
C0028,Grace,Jangi,9 Kwame Nkrumah Ave,38,Female,Harare,60,5/9/2020,Postpaid,11,15.59,22.0,141,12,99.2,88.51,0,0,0,1,716480469
C0029,Robert,Sibanda,12 Churchill Rd,62,Male,Gweru,21,29/8/2024,Prepaid,0,8.71,583.3,187,11,10.28,7.03,1,0,1,0,717205788
C0030,Emily,Sibanda,139 Churchill Rd,34,Female,Gweru,33,29/7/2024,Prepaid,0,4.78,842.2,455,11,5.3,18.52,2,1,0,0,714964824
C0031,Peter,Johnson,113 Kwame Nkrumah Ave,57,Male,Harare,12,1/1/2024,Prepaid,0,5.4,549.0,280,11,85.56,9.97,2,1,0,0,719667292
C0032,Emily,Moyo,166 Churchill Rd,30,Male,Mutare,58,10/12/2020,Postpaid,7,13.03,219.3,465,8,92.73,31.08,1,1,0,0,714295312
C0033,Michael,Jones,156 First Ave,69,Female,Mutare,22,30/11/2021,Prepaid,0,3.19,33.7,114,12,9.06,8.34,1,0,0,1,718762479
C0034,Michael,Johnson,8 Second St,49,Female,Bulawayo,44,19/1/2022,Postpaid,20,15.36,214.6,427,9,11.34,72.47,2,1,1,0,714588252
C0035,Michael,Nyathi,175 Main Rd,54,Female,Harare,25,18/5/2020,Postpaid,22,14.28,416.1,235,8,3.32,79.64,2,0,1,0,717128109
C0036,John,Nyathi,36 First Ave,67,Male,Harare,49,20/12/2022,Prepaid,0,6.42,759.6,337,8,10.45,5.42,1,0,0,0,711050279
C0037,Emily,Johnson,125 High St,32,Female,Masvingo,27,26/2/2022,Prepaid,0,2.64,187.8,9,8,20.94,5.73,0,0,1,0,716425725
C0038,Grace,Williams,50 First Ave,29,Female,Mutare,59,5/1/2022,Prepaid,0,6.36,719.8,198,9,97.01,23.05,1,0,0,1,715421133
C0039,David,Brown,107 First Ave,66,Female,Mutare,42,6/7/2020,Prepaid,0,0.68,866.9,251,11,66.79,6.47,2,0,1,0,712396735
C0040,David,Smith,9 High St,32,Male,Harare,28,27/11/2021,Prepaid,0,1.5,453.9,49,12,77.86,22.88,1,1,0,0,711527672
C0041,John,Johnson,188 Kwame Nkrumah Ave,51,Male,Bulawayo,60,25/6/2020,Prepaid,0,2.82,821.4,427,10,77.61,9.56,1,0,1,0,715766958
C0042,David,Chirwa,200 Second St,23,Female,Harare,16,9/2/2022,Prepaid,0,6.01,554.7,141,10,53.51,19.8,0,1,0,0,717407852
C0043,Michael,Moyo,67 Kwame Nkrumah Ave,34,Male,Bulawayo,15,20/9/2023,Prepaid,0,6.79,637.1,270,12,79.75,11.19,1,0,2,0,713179524
C0044,Alice,Smith,53 Main Rd,65,Female,Mutare,47,24/2/2022,Prepaid,0,4.48,526.3,15,9,59.58,22.18,0,0,0,0,711239881
C0045,David,Moyo,82 High St,66,Male,Masvingo,51,6/9/2021,Prepaid,0,4.51,463.2,1,10,31.45,19.01,0,1,0,0,714606526
C0046,Susan,Brown,110 Churchill Rd,37,Female,Gweru,44,25/9/2020,Prepaid,0,7.27,234.7,157,8,56.11,13.04,5,1,2,0,717838881
C0047,Jane,Sibanda,145 Samora Machel St,26,Male,Mutare,55,2/9/2020,Prepaid,0,0.26,303.2,29,10,53.35,6.53,0,2,0,0,715307102
C0048,Robert,Dube,53 High St,22,Female,Bulawayo,52,16/6/2022,Prepaid,0,3.48,290.0,81,12,82.35,19.65,2,1,0,0,713206633
C0049,Robert,Moyo,156 First Ave,40,Female,Harare,57,16/5/2022,Prepaid,0,8.21,563.3,30,8,98.17,17.34,2,0,1,0,716769698
C0050,Alice,Sibanda,114 Main Rd,50,Male,Mutare,3,10/6/2021,Prepaid,0,6.07,120.0,235,10,41.1,5.06,1,0,2,1,719194043
C0051,Susan,Sibanda,63 Second St,55,Male,Masvingo,37,10/7/2023,Postpaid,21,20.18,916.8,495,12,76.34,30.66,1,0,0,0,719212116
C0052,Michael,Dube,143 Main Rd,31,Male,Bulawayo,51,14/12/2024,Prepaid,0,9.06,720.7,332,9,9.98,21.18,2,1,0,0,712807065
C0053,Jane,Dube,19 Kwame Nkrumah Ave,34,Male,Harare,7,7/11/2021,Postpaid,13,39.77,401.4,147,12,77.68,48.16,1,0,0,0,714744637
C0054,Jane,Chirwa,124 High St,36,Male,Gweru,21,7/4/2023,Prepaid,0,2.72,158.6,176,9,37.14,17.72,1,0,0,0,714407975
C0055,Emily,Dube,86 Kwame Nkrumah Ave,50,Female,Bulawayo,9,9/1/2021,Prepaid,0,6.49,882.0,369,8,3.94,14.08,1,0,0,1,713693236
C0056,Alice,Sibanda,70 Samora Machel St,18,Female,Harare,39,20/8/2021,Postpaid,15,31.81,823.8,34,12,36.32,90.44,1,0,1,1,711203609
C0057,Alice,Brown,47 Samora Machel St,30,Male,Gweru,18,18/12/2024,Prepaid,0,4.07,721.7,22,11,61.06,23.34,5,2,0,0,717460314
C0058,Robert,Brown,199 First Ave,63,Female,Harare,4,28/11/2022,Prepaid,0,3.73,271.5,105,11,11.93,24.94,0,0,0,0,716204864
C0059,Susan,Jones,108 Second St,44,Female,Gweru,25,13/1/2024,Prepaid,0,3.5,402.4,96,11,92.4,8.07,1,0,0,1,714947361
C0060,Robert,Chirwa,176 Main Rd,23,Male,Gweru,60,4/4/2020,Prepaid,0,6.21,102.7,229,11,7.77,22.26,1,1,1,0,718861476
C0061,John,Smith,20 High St,23,Female,Gweru,14,11/8/2024,Prepaid,0,4.48,189.0,226,11,93.0,10.32,3,0,0,0,712000567
C0062,Emily,Williams,37 Kwame Nkrumah Ave,50,Female,Harare,50,7/6/2021,Prepaid,0,8.34,783.0,370,9,70.71,16.82,0,1,0,0,715372731
C0063,John,Smith,130 First Ave,47,Male,Gweru,58,10/12/2024,Postpaid,15,35.13,715.0,99,12,32.97,65.4,2,0,0,1,717408136
C0064,Emily,Nyathi,192 High St,63,Male,Bulawayo,9,25/9/2022,Prepaid,0,0.79,593.5,444,8,39.08,5.36,4,1,0,1,712926876
